ts,id.orig_h,id.orig_p,id.resp_p,proto,conn_state,label,detailed-label
1525879855.014906,192.168.100.103,40485,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879856.006092,192.168.100.103,37533,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879856.045073,192.168.100.103,39813,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879857.006023,192.168.100.103,58116,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879857.01502,192.168.100.103,55730,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879858.014951,192.168.100.103,50261,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879859.006387,192.168.100.103,33685,34797,tcp,S0,Benign,-
1525879859.014882,192.168.100.103,40229,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879860.015064,192.168.100.103,33032,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879860.045047,192.168.100.103,52482,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879861.04498,192.168.100.103,49307,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879862.04491,192.168.100.103,52702,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879863.006113,192.168.100.103,35197,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879863.015108,192.168.100.103,37533,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879863.045091,192.168.100.103,40485,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879864.006044,192.168.100.103,42973,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879864.015039,192.168.100.103,58116,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879865.006226,192.168.100.103,60438,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879865.044954,192.168.100.103,55730,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879866.014904,192.168.100.103,33685,34797,tcp,S0,Benign,-
1525879866.045136,192.168.100.103,50261,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879867.04507,192.168.100.103,40229,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879868.045,192.168.100.103,33032,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879869.005954,192.168.100.103,48602,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879870.01488,192.168.100.103,35197,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879871.006068,192.168.100.103,36104,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879871.015062,192.168.100.103,42973,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879871.045044,192.168.100.103,37533,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879872.014994,192.168.100.103,60438,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879872.044976,192.168.100.103,58116,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879873.005931,192.168.100.103,37334,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879874.04509,192.168.100.103,33685,34797,tcp,S0,Benign,-
1525879876.014971,192.168.100.103,48602,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879877.005909,192.168.100.103,35728,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879878.006089,192.168.100.103,42885,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879878.015085,192.168.100.103,36104,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879878.045068,192.168.100.103,35197,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879879.006522,192.168.100.103,35310,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879879.045018,192.168.100.103,42973,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879880.014948,192.168.100.103,37334,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879880.016197,192.168.100.103,35876,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879880.044931,192.168.100.103,60438,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879882.015811,192.168.100.103,36994,9527,tcp,REJ,Malicious,PartOfAHorizontalPortScan
1525879883.016243,192.168.100.103,60798,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879884.014936,192.168.100.103,35728,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879884.016425,192.168.100.103,43780,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879884.04517,192.168.100.103,48602,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879885.015118,192.168.100.103,42885,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879885.016357,192.168.100.103,49397,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879831.015073,192.168.100.103,43763,14336,udp,S0,Benign,-
1525879886.015291,192.168.100.103,35310,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879886.016539,192.168.100.103,44000,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879886.045024,192.168.100.103,36104,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879832.015493,192.168.100.103,43763,11764,udp,S0,Benign,-
1525879887.024967,192.168.100.103,35876,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879833.015424,192.168.100.103,43763,2441,udp,S0,Benign,-
1525879888.016403,192.168.100.103,36589,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879888.045138,192.168.100.103,37334,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879834.015605,192.168.100.103,43763,60862,udp,S0,Benign,-
1525879889.016585,192.168.100.103,49839,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879835.005303,192.168.100.103,43763,7140,udp,S0,Benign,-
1525879890.025014,192.168.100.103,60798,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879836.004994,192.168.100.103,43763,56982,udp,S0,Benign,-
1525879891.01645,192.168.100.103,38855,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879891.024945,192.168.100.103,43780,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879837.005157,192.168.100.103,43763,33773,udp,S0,Benign,-
1525879892.025128,192.168.100.103,49397,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879892.045117,192.168.100.103,35728,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879838.005593,192.168.100.103,43763,65495,udp,S0,Benign,-
1525879893.02507,192.168.100.103,44000,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879893.045062,192.168.100.103,42885,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879839.005265,192.168.100.103,43763,1350,udp,S0,Benign,-
1525879894.044981,192.168.100.103,35310,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879840.005693,192.168.100.103,43763,25098,udp,S0,Benign,-
1525879895.015931,192.168.100.103,56410,2478,tcp,S0,Benign,-
1525879895.025177,192.168.100.103,36589,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879895.045163,192.168.100.103,35876,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879841.005128,192.168.100.103,43763,59695,udp,S0,Benign,-
1525879896.016362,192.168.100.103,34192,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879896.025118,192.168.100.103,49839,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879842.005813,192.168.100.103,43763,15976,udp,S0,Benign,-
1525879897.016294,192.168.100.103,49034,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879842.860331,192.168.100.103,123,123,udp,SF,Benign,-
1525879843.005245,192.168.100.103,43763,798,udp,S0,Benign,-
1525879898.024972,192.168.100.103,38855,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879898.045211,192.168.100.103,60798,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879840.999132,192.168.100.1,3,1,icmp,OTH,Benign,-
1525879844.005421,192.168.100.103,43763,40527,udp,S0,Benign,-
1525879899.045144,192.168.100.103,43780,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879845.005103,192.168.100.103,43763,56969,udp,S0,Benign,-
1525879900.045076,192.168.100.103,49397,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879846.005532,192.168.100.103,43763,61072,udp,S0,Benign,-
1525879901.016025,192.168.100.103,35151,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879901.04503,192.168.100.103,44000,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879847.005465,192.168.100.103,43763,25403,udp,S0,Benign,-
1525879902.025207,192.168.100.103,56410,2478,tcp,S0,Benign,-
1525879848.005645,192.168.100.103,43763,43289,udp,S0,Benign,-
1525879903.01589,192.168.100.103,37151,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879903.025134,192.168.100.103,34192,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879903.045124,192.168.100.103,36589,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879849.005576,192.168.100.103,43763,5679,udp,S0,Benign,-
1525879904.025067,192.168.100.103,49034,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879904.045055,192.168.100.103,49839,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879850.005755,192.168.100.103,43763,26721,udp,S0,Benign,-
1525879905.016005,192.168.100.103,34270,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879850.375819,122.152.1.198,11,0,icmp,OTH,Benign,-
1525879851.005688,192.168.100.103,43763,58861,udp,S0,Benign,-
1525879906.0452,192.168.100.103,38855,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879852.00537,192.168.100.103,43763,15256,udp,S0,Benign,-
1525879907.01612,192.168.100.103,43202,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879852.488356,77.217.131.211,3,3,icmp,OTH,Benign,-
1525879853.005799,192.168.100.103,43763,13207,udp,S0,Benign,-
1525879908.025046,192.168.100.103,35151,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879854.005731,192.168.100.103,43763,12953,udp,S0,Benign,-
1525879909.016237,192.168.100.103,34417,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879855.005663,192.168.100.103,43763,19730,udp,S0,Benign,-
1525879910.016416,192.168.100.103,42451,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879910.04515,192.168.100.103,56410,2478,tcp,S0,Benign,-
1525879856.005595,192.168.100.103,43763,8506,udp,S0,Benign,-
1525879911.016349,192.168.100.103,36460,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879911.045084,192.168.100.103,34192,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879857.005526,192.168.100.103,43763,48857,udp,S0,Benign,-
1525879912.016781,192.168.100.103,40166,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879912.025036,192.168.100.103,34270,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879912.045023,192.168.100.103,49034,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879858.00546,192.168.100.103,43763,31497,udp,S0,Benign,-
1525879859.005389,192.168.100.103,43763,60879,udp,S0,Benign,-
1525879914.025143,192.168.100.103,43202,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879860.005573,192.168.100.103,43763,62538,udp,S0,Benign,-
1525879915.01608,192.168.100.103,42830,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879861.005261,192.168.100.103,43763,27885,udp,S0,Benign,-
1525879916.016515,192.168.100.103,49192,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879916.025009,192.168.100.103,34417,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879916.045247,192.168.100.103,35151,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879862.005433,192.168.100.103,43763,47246,udp,S0,Benign,-
1525879917.016445,192.168.100.103,44147,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879917.025191,192.168.100.103,42451,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879863.005124,192.168.100.103,43763,7208,udp,S0,Benign,-
1525879918.016378,192.168.100.103,53599,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879918.025124,192.168.100.103,36460,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879864.005548,192.168.100.103,43763,52802,udp,S0,Benign,-
1525879919.025057,192.168.100.103,40166,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879865.005479,192.168.100.103,43763,36181,udp,S0,Benign,-
1525879920.015995,192.168.100.103,50039,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879920.045228,192.168.100.103,34270,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879866.00566,192.168.100.103,43763,15425,udp,S0,Benign,-
1525879921.016427,192.168.100.103,40983,56742,tcp,S0,Benign,-
1525879867.005341,192.168.100.103,43763,61848,udp,S0,Benign,-
1525879922.025105,192.168.100.103,42830,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879922.045094,192.168.100.103,43202,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879867.860615,192.168.100.103,123,123,udp,SF,Benign,-
1525879868.005521,192.168.100.103,43763,23495,udp,S0,Benign,-
1525879923.016293,192.168.100.103,47863,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879923.025038,192.168.100.103,49192,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879868.410809,182.38.96.176,3,3,icmp,OTH,Benign,-
1525879869.005215,192.168.100.103,43763,25523,udp,S0,Benign,-
1525879924.025224,192.168.100.103,44147,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879924.04521,192.168.100.103,34417,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879870.005387,192.168.100.103,43763,46232,udp,S0,Benign,-
1525879925.025156,192.168.100.103,53599,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879925.045142,192.168.100.103,42451,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879871.005076,192.168.100.103,43763,62754,udp,S0,Benign,-
1525879926.045077,192.168.100.103,36460,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879872.0055,192.168.100.103,43763,36512,udp,S0,Benign,-
1525879927.016026,192.168.100.103,56024,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879927.02527,192.168.100.103,50039,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879927.045259,192.168.100.103,40166,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879873.005192,192.168.100.103,43763,65473,udp,S0,Benign,-
1525879928.016457,192.168.100.103,39423,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879928.025205,192.168.100.103,40983,56742,tcp,S0,Benign,-
1525879874.005614,192.168.100.103,43763,47968,udp,S0,Benign,-
1525879929.01639,192.168.100.103,46566,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879875.005305,192.168.100.103,43763,38839,udp,S0,Benign,-
1525879930.025069,192.168.100.103,47863,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879930.045308,192.168.100.103,42830,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879875.860578,192.168.100.103,123,123,udp,SF,Benign,-
1525879876.005729,192.168.100.103,43763,9530,udp,S0,Benign,-
1525879931.045257,192.168.100.103,49192,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879877.00543,192.168.100.103,43763,23874,udp,S0,Benign,-
1525879932.045175,192.168.100.103,44147,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879878.005592,192.168.100.103,43763,20607,udp,S0,Benign,-
1525879933.016127,192.168.100.103,44995,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879933.045108,192.168.100.103,53599,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879879.005524,192.168.100.103,43763,38865,udp,S0,Benign,-
1525879934.025062,192.168.100.103,56024,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879880.015699,192.168.100.103,43763,2656,udp,S0,Benign,-
1525879935.025236,192.168.100.103,39423,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879935.045224,192.168.100.103,50039,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879881.015381,192.168.100.103,43763,13171,udp,S0,Benign,-
1525879936.025167,192.168.100.103,46566,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879936.045157,192.168.100.103,40983,56742,tcp,S0,Benign,-
1525879882.015315,192.168.100.103,43763,54740,udp,S0,Benign,-
1525879937.01586,192.168.100.103,38459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879883.015496,192.168.100.103,43763,64068,udp,S0,Benign,-
1525879938.045288,192.168.100.103,47863,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879884.015677,192.168.100.103,43763,60652,udp,S0,Benign,-
1525879939.015974,192.168.100.103,52584,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879885.015858,192.168.100.103,43763,30462,udp,S0,Benign,-
1525879940.025152,192.168.100.103,44995,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879886.016041,192.168.100.103,43763,60250,udp,S0,Benign,-
1525879941.01609,192.168.100.103,54094,9527,tcp,REJ,Malicious,PartOfAHorizontalPortScan
1525879887.015723,192.168.100.103,43763,52870,udp,S0,Benign,-
1525879942.016522,192.168.100.103,60399,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879942.04526,192.168.100.103,56024,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879887.20962,192.232.220.245,3,3,icmp,OTH,Benign,-
1525879888.015406,192.168.100.103,43763,41779,udp,S0,Benign,-
1525879943.016205,192.168.100.103,44197,27816,tcp,S0,Benign,-
1525879943.04519,192.168.100.103,39423,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879889.015586,192.168.100.103,43763,48984,udp,S0,Benign,-
1525879944.016388,192.168.100.103,54464,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879944.025134,192.168.100.103,38459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879944.045373,192.168.100.103,46566,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879890.01552,192.168.100.103,43763,39860,udp,S0,Benign,-
1525879945.016572,192.168.100.103,42499,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879891.015453,192.168.100.103,43763,39422,udp,S0,Benign,-
1525879946.025267,192.168.100.103,52584,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879892.015633,192.168.100.103,43763,12145,udp,S0,Benign,-
1525879947.016438,192.168.100.103,40296,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879893.015326,192.168.100.103,43763,24832,udp,S0,Benign,-
1525879948.016621,192.168.100.103,46158,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879948.045355,192.168.100.103,44995,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879894.01575,192.168.100.103,43763,44154,udp,S0,Benign,-
1525879949.016305,192.168.100.103,60633,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879949.025303,192.168.100.103,60399,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879895.015442,192.168.100.103,43763,27727,udp,S0,Benign,-
1525879950.016738,192.168.100.103,34062,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879950.025234,192.168.100.103,44197,27816,tcp,S0,Benign,-
1525879896.015615,192.168.100.103,43763,52688,udp,S0,Benign,-
1525879951.025167,192.168.100.103,54464,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879897.015545,192.168.100.103,43763,1636,udp,S0,Benign,-
1525879952.016355,192.168.100.103,45599,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879952.025351,192.168.100.103,42499,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879952.04534,192.168.100.103,38459,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879898.015979,192.168.100.103,43763,63179,udp,S0,Benign,-
1525879953.016787,192.168.100.103,36497,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879899.015661,192.168.100.103,43763,29947,udp,S0,Benign,-
1525879954.025218,192.168.100.103,40296,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879954.045206,192.168.100.103,52584,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879900.015593,192.168.100.103,43763,13262,udp,S0,Benign,-
1525879955.016406,192.168.100.103,42505,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879955.025152,192.168.100.103,46158,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879901.015283,192.168.100.103,43763,23969,udp,S0,Benign,-
1525879956.025335,192.168.100.103,60633,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879902.015459,192.168.100.103,43763,14680,udp,S0,Benign,-
1525879957.02527,192.168.100.103,34062,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879957.04526,192.168.100.103,60399,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879903.015401,192.168.100.103,43763,47792,udp,S0,Benign,-
1525879958.045191,192.168.100.103,44197,27816,tcp,S0,Benign,-
1525879904.015823,192.168.100.103,43763,752,udp,S0,Benign,-
1525879959.016141,192.168.100.103,40119,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879959.025386,192.168.100.103,45599,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879959.045375,192.168.100.103,54464,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879905.015276,192.168.100.103,43763,35965,udp,S0,Benign,-
1525879960.016574,192.168.100.103,38497,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879960.025331,192.168.100.103,36497,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879960.045327,192.168.100.103,42499,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879906.015689,192.168.100.103,43763,31516,udp,S0,Benign,-
1525879961.016507,192.168.100.103,35040,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879906.324279,211.170.38.34,3,1,icmp,OTH,Benign,-
1525879906.860469,192.168.100.103,123,123,udp,SF,Benign,-
1525879907.015121,192.168.100.103,43763,10505,udp,S0,Benign,-
1525879962.025186,192.168.100.103,42505,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879962.045425,192.168.100.103,40296,2323,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879908.015553,192.168.100.103,43763,62704,udp,S0,Benign,-
1525879963.045359,192.168.100.103,46158,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879909.015256,192.168.100.103,43763,23830,udp,S0,Benign,-
1525879964.045293,192.168.100.103,60633,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879910.015917,192.168.100.103,43763,39338,udp,S0,Benign,-
1525879965.016243,192.168.100.103,50843,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879965.045227,192.168.100.103,34062,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879911.015602,192.168.100.103,43763,33143,udp,S0,Benign,-
1525879966.025422,192.168.100.103,40119,23,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879912.015784,192.168.100.103,43763,25409,udp,S0,Benign,-
1525879967.025357,192.168.100.103,38497,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879967.045343,192.168.100.103,45599,9527,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879913.015967,192.168.100.103,43763,449,udp,S0,Benign,-
1525879968.025293,192.168.100.103,35040,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
1525879968.045278,192.168.100.103,36497,8080,tcp,S0,Malicious,PartOfAHorizontalPortScan
